genes,pvals,ctrlmean,eosmean,foldchange,pvalcorr,eosfrac,ctrlfrac,totalfrac,idx
YWHAZ,0.684279530932873,21.174292316660924,21.25367347125,-0.0053984644122499585,0.9756929798946605,0.5714285714285714,0.49333333333333335,0.5,0.07809523809523805
HBB,0.18275293437794082,29.187217722634536,26.971750597146816,0.11388752969865396,0.8160489709364906,0.9285714285714286,1.0,0.9939024390243902,0.0714285714285714
HBG1,0.18852815440049964,31.899093600000004,30.69419,0.055549832424171525,0.8160489709364906,0.5,0.5,0.5,0.0
HBG2,0.2646384251670124,26.342842598090897,24.896211777,0.08148479441478519,0.858974358974359,0.7142857142857143,0.74,0.7378048780487805,0.02571428571428569
HBA1,0.12098058350552209,30.52976138934848,28.835599126175307,0.0823653159269434,0.7915609569470291,1.0,1.0,1.0,0.0
LCN2,0.2566219470244238,21.408723756428575,22.263524,-0.056483174363707395,0.858974358974359,0.35714285714285715,0.09333333333333334,0.11585365853658537,0.2638095238095238
S100A12,0.021118226693338966,22.68326732010757,21.272691110000004,0.09262590892212512,0.6431459947516868,0.5,0.4,0.40853658536585363,0.09999999999999998
FBLN2,0.5277229722397317,15.339494127109434,15.047908352939366,0.02768793828523615,0.9756929798946605,0.6428571428571429,0.6866666666666666,0.6829268292682927,0.04380952380952374
HSPG2,0.0605742810823354,21.603892277026638,22.235263147499996,-0.04155821889793885,0.6846886882302049,0.8571428571428571,0.8866666666666667,0.8841463414634146,0.02952380952380962
NFKB2,0.8487804878048785,23.294595945945947,23.3125,-0.0011084188251563063,1.0,0.2857142857142857,0.24666666666666667,0.25,0.039047619047619025
TAGLN,0.4494412625084131,21.398998490566044,21.909034,-0.03398259765421532,0.9756929798946605,0.35714285714285715,0.35333333333333333,0.35365853658536583,0.003809523809523818
CFHR1,0.5737021435695591,22.560988258891015,22.793262135608355,-0.014777150845508319,0.9756929798946605,0.9285714285714286,0.9733333333333334,0.9695121951219512,0.04476190476190478
HGFAC,0.8539188481263256,21.861292576041304,21.741823147204528,0.007905782922745812,1.0,0.8571428571428571,0.9533333333333334,0.9451219512195121,0.09619047619047627
ITIH3,0.2154302383593768,25.989345055944227,26.249556269285716,-0.014372757560468626,0.8245398508556403,1.0,1.0,1.0,0.0
LRP1,0.7058823529411765,20.416080303030306,20.2175,0.014101297356487574,0.980960516394705,0.07142857142857142,0.22,0.2073170731707317,0.14857142857142858
LGALS3BP,0.16398945788840957,26.21138705594423,25.578984840714288,0.035234691546920965,0.8160489709364906,1.0,1.0,1.0,0.0
EFEMP1,0.2510643284259737,19.807042576165273,19.326856751265716,0.0354064629879504,0.858974358974359,0.9285714285714286,0.9533333333333334,0.9512195121951219,0.024761904761904763
MMRN1,0.20949316865832296,20.13859754716981,19.584256000000003,0.04026889571732437,0.8160489709364906,0.35714285714285715,0.35333333333333333,0.35365853658536583,0.003809523809523818
SELENBP1,0.18452892286961484,22.382922570559295,21.71422282375,0.04375810533930813,0.8160489709364906,0.5714285714285714,0.7,0.6890243902439024,0.12857142857142856
ENPP2,0.5409260617287189,19.97994173076923,19.996029999999998,-0.00116122092766754,0.9756929798946605,0.42857142857142855,0.3466666666666667,0.35365853658536583,0.08190476190476187
DAG1,0.718337039622849,22.179771145238785,22.022301666666667,0.010279219161336612,0.9819768339768339,0.42857142857142855,0.5,0.49390243902439024,0.07142857142857145
HABP2,0.9386152397941611,23.965555583034945,24.06018959803785,-0.005685625504985101,1.0,0.8571428571428571,0.8666666666666667,0.8658536585365854,0.009523809523809601
ITIH4,0.20896159350512122,28.42579238923029,28.600170554746736,-0.00882318459066495,0.8160489709364906,1.0,1.0,1.0,0.0
LTBP1,0.23541846127686106,21.099594519728708,21.669551295,-0.03845400599263576,0.8379675644926894,0.42857142857142855,0.42,0.42073170731707316,0.008571428571428563
FCN2,0.6666666666666666,21.38989,21.0343,0.024185255805276414,0.9756929798946605,0.07142857142857142,0.03333333333333333,0.036585365853658534,0.03809523809523809
TGFBI,0.14853017938555538,23.556608722539984,23.72864198357143,-0.010497676291172648,0.8142361111111112,1.0,1.0,1.0,0.0
ADIPOQ,0.13303972757628732,21.994655462869805,21.44193390888889,0.03671796978194536,0.7915609569470291,0.6428571428571429,0.8333333333333334,0.8170731707317073,0.19047619047619047
ECM1,0.6880021291893035,24.544981358798243,24.716056269032453,-0.01002049200428005,0.9756929798946605,1.0,0.9733333333333334,0.975609756097561,0.026666666666666616
HAGH,0.434108527131783,16.92705951219512,19.29463,-0.18886800164459228,0.9756929798946605,0.14285714285714285,0.2733333333333333,0.2621951219512195,0.13047619047619047
HBM,0.5787270225755549,21.643590262143682,21.943343597142864,-0.01984353701509146,0.9756929798946605,0.5,0.41333333333333333,0.42073170731707316,0.08666666666666667
VASN,0.05830568556171002,23.506060177917853,23.89702769785714,-0.02379843667211389,0.6846886882302049,1.0,0.9666666666666667,0.9695121951219512,0.033333333333333326
PI16,0.684572822431915,22.616384793698984,22.444541666666666,0.011003698703662575,0.9756929798946605,0.42857142857142855,0.6,0.5853658536585366,0.17142857142857143
CD109,0.7967921538885024,21.048148214899868,20.987283674615387,0.004177857957044798,0.996282527881041,0.9285714285714286,0.9866666666666667,0.9817073170731707,0.05809523809523809
LILRA3,0.29700208028381403,19.4104028125,19.715775,-0.022520364167253098,0.8883544365631937,0.42857142857142855,0.21333333333333335,0.23170731707317074,0.2152380952380952
GGH,0.5574130367005207,22.557050324728475,22.33193410695039,0.014470221495506773,0.9756929798946605,0.7857142857142857,0.9933333333333333,0.975609756097561,0.2076190476190476
PRG4,0.6512321398120804,21.954360576923083,22.135624,-0.011862526940535193,0.9756929798946605,0.35714285714285715,0.3466666666666667,0.3475609756097561,0.010476190476190472
CPB2,0.3387173545282611,23.009354651342743,22.84822055474674,0.010138709592841612,0.9150071626633693,1.0,0.9866666666666667,0.9878048780487805,0.013333333333333308
CEP63,0.625,22.69252705944867,22.1956,0.03194356904697436,0.9756929798946605,0.07142857142857142,0.20666666666666667,0.1951219512195122,0.13523809523809524
PGLYRP2,0.02671438994777096,26.616254389277557,25.77435984071429,0.04637096445999208,0.6846886882302049,1.0,1.0,1.0,0.0
COL12A1,0.9333333333333333,19.4998,19.276600000000002,0.01660871506986318,1.0,0.14285714285714285,0.08666666666666667,0.09146341463414634,0.05619047619047618
CD93,0.6399359672849957,23.403446107030295,23.698990862742388,-0.018104649205259234,0.9756929798946605,0.42857142857142855,0.42,0.42073170731707316,0.008571428571428563
C1RL,0.7729486804945518,22.898314415459673,22.802450647500002,0.006052519483817326,0.996282527881041,0.5714285714285714,0.7066666666666667,0.6951219512195121,0.13523809523809527
FETUB,0.8565300732456536,21.813467038945717,21.86720675153846,-0.003549856229087515,1.0,0.9285714285714286,0.8933333333333333,0.8963414634146342,0.03523809523809529
SERPINA10,0.09702424547605512,22.168122154700267,22.604091983571426,-0.02809739937263753,0.7558865635925225,1.0,0.8533333333333334,0.8658536585365854,0.1466666666666666
PROCR,0.0688618753839565,21.478937719298244,21.929705,-0.02996376097387582,0.6846886882302049,0.42857142857142855,0.38,0.38414634146341464,0.04857142857142854
FCGBP,0.9481823191733261,22.1135716245116,22.43607076923077,-0.02088798111105511,1.0,0.9285714285714286,0.94,0.9390243902439024,0.011428571428571344
IGHG4,0.9767441860465118,22.442508658640683,22.44802,-0.00035424777231488823,1.0,0.14285714285714285,0.28,0.2682926829268293,0.13714285714285718
POLRMT,0.6874296435272045,22.93942048380377,23.07031259,-0.008208606715529605,0.9756929798946605,0.21428571428571427,0.25333333333333335,0.25,0.03904761904761908
CHL1,0.15555555555555556,20.748178766053446,21.68156259,-0.06348403034564389,0.8142361111111112,0.14285714285714285,0.22666666666666666,0.21951219512195122,0.0838095238095238
APOL1,0.5307123861622516,20.97204990606005,21.132839036,-0.011018711310729616,0.9756929798946605,0.35714285714285715,0.37333333333333335,0.3719512195121951,0.0161904761904762
CLPX,0.6885470085470083,20.366300089409048,20.794079256666667,-0.029988892955980444,0.9756929798946605,0.21428571428571427,0.16,0.16463414634146342,0.05428571428571427
LDHA,0.9792308626741164,21.068791634105473,20.940995307383815,0.008777559181474437,1.0,0.6428571428571429,0.7066666666666667,0.7012195121951219,0.06380952380952376
SOD1,0.8635146823826069,16.445089954554344,16.1585869425,0.025355858828894993,1.0,0.2857142857142857,0.34,0.3353658536585366,0.054285714285714326
F9,0.15965166908563133,20.51775611358644,21.342385,-0.05684844366346236,0.8160489709364906,0.14285714285714285,0.34,0.3231707317073171,0.19714285714285718
LDLR,0.19047619047619047,14.978612589290861,16.09376259,-0.10359765704374355,0.8160489709364906,0.14285714285714285,0.03333333333333333,0.042682926829268296,0.10952380952380952
PROC,0.27586206896551724,21.50382219403245,22.08241,-0.0383045173494349,0.8636803093780212,0.07142857142857142,0.18666666666666668,0.17682926829268292,0.11523809523809525
HSPB1,0.857142857142857,22.06979276153846,21.854712586454298,0.014128677352284852,1.0,0.07142857142857142,0.08666666666666667,0.08536585365853659,0.015238095238095245
PTMA,0.8,13.111000090000001,13.41416259,-0.032979257193738884,0.996282527881041,0.07142857142857142,0.02666666666666667,0.03048780487804878,0.04476190476190475
S100A6,0.7410599150901377,23.7951720953361,23.528313777,0.016270959175299023,0.9823692233632866,0.7142857142857143,0.7266666666666667,0.725609756097561,0.012380952380952381
ENO1,0.06455250176180409,21.599714557926397,20.334361726666668,0.08709254028223228,0.6846886882302049,0.21428571428571427,0.28,0.27439024390243905,0.06571428571428575
LAMB1,0.541871921182266,16.237873700848468,16.62078758822715,-0.0336260184379566,0.9756929798946605,0.14285714285714285,0.18,0.17682926829268292,0.037142857142857144
THBS1,0.1760013839606029,22.026926965479547,23.13002253755837,-0.07049843681827983,0.8160489709364906,0.5,0.46,0.4634146341463415,0.03999999999999998
PLEK,0.7320261437908497,21.30341594875,20.80976,0.03382445499758863,0.9819768339768339,0.14285714285714285,0.10666666666666667,0.10975609756097561,0.036190476190476176
LTA4H,0.26100131752305666,20.323554528739933,19.758328392151437,0.040691851018559606,0.858974358974359,0.21428571428571427,0.2866666666666667,0.2804878048780488,0.0723809523809524
IGLC6;IGLC1;IGLL5,0.7228893058161351,25.979708641511884,26.197262589999998,-0.012030817966960212,0.9819768339768339,0.21428571428571427,0.25333333333333335,0.25,0.03904761904761908
CHGA,0.3085572503209059,16.11504309690021,15.811761295000002,0.027409966103031112,0.892062333352288,0.42857142857142855,0.2733333333333333,0.2865853658536585,0.15523809523809523
PSG1,0.5,24.80442925666667,21.09126259,0.23395229955624164,0.9756929798946605,0.07142857142857142,0.02,0.024390243902439025,0.05142857142857142
ANXA3,0.43243243243243246,21.483351922303015,21.99716,-0.034098166721929044,0.9756929798946605,0.07142857142857142,0.24,0.22560975609756098,0.16857142857142857
PRG2,0.9999999999999998,22.64336039818879,21.85601,0.05105802903998292,1.0,0.07142857142857142,0.08666666666666667,0.08536585365853659,0.015238095238095245
CD99,0.10852713178294573,19.504605599181815,20.33821258822715,-0.060378068311961894,0.7915609569470291,0.14285714285714285,0.2733333333333333,0.2621951219512195,0.13047619047619047
ANPEP,0.19723781328556222,20.65723405272853,20.24964037,0.028750807986982006,0.8160489709364906,0.5,0.48,0.4817073170731707,0.020000000000000018
CPN1,0.23714795875826766,23.600825167067747,23.23492377664543,0.02254239009198696,0.8379675644926894,0.7142857142857143,0.7333333333333333,0.7317073170731707,0.01904761904761898
VCL,0.9241014740316394,20.447904728089494,20.55817222125,-0.007758984074181163,1.0,0.5714285714285714,0.43333333333333335,0.4451219512195122,0.13809523809523805
ORM2,0.47058823529411764,21.469620507903393,20.835285,0.04326785627992992,0.9756929798946605,0.14285714285714285,0.21333333333333335,0.2073170731707317,0.0704761904761905
CFL1,0.6866500106064534,22.65841603614749,22.72731155329086,-0.0043800244062490185,0.9756929798946605,0.35714285714285715,0.35333333333333333,0.35365853658536583,0.003809523809523818
CFP,0.7912237490277416,18.89069576962478,19.089393333333334,-0.015095415092338195,0.996282527881041,0.21428571428571427,0.36666666666666664,0.35365853658536583,0.15238095238095237
TKT,0.5714285714285714,21.464526372513184,21.63037129322715,-0.011104090683554784,0.9756929798946605,0.14285714285714285,0.41333333333333333,0.3902439024390244,0.2704761904761905
